Date,Mileage,time_corr,pace_min
2013-06-23 00:00:00,4.97,0:41:23,8.326626425217976
2013-06-24 00:00:00,5.08,0:42:49,8.428477690288714
2013-06-26 00:00:00,4.78,0:36:17,7.5906555090655505
2013-06-28 00:00:00,2.81,0:23:24,8.327402135231317
2013-06-29 00:00:00,5.55,0:39:39,7.1441441441441444
2013-07-01 00:00:00,3.05,0:26:38,8.73224043715847
2013-07-02 00:00:00,3.91,0:29:59,7.668371696504689
2013-07-03 00:00:00,5.06,0:40:51,8.07312252964427
2013-07-08 00:00:00,1.0,,nan
2013-07-12 00:00:00,3.34,0:49:52,14.930139720558882
2013-07-15 00:00:00,4.89,0:40:36,8.302658486707568
2013-07-16 00:00:00,1.7,0:10:38,6.254901960784314
2013-07-17 00:00:00,4.84,0:35:59,7.434573002754821
2013-07-19 00:00:00,3.1,0:26:55,8.682795698924732
2013-07-20 00:00:00,5.55,0:41:55,7.5525525525525525
2013-07-22 00:00:00,5.06,0:39:10,7.740447957839263
2013-07-22 00:00:00,4.27,,nan
2013-07-23 00:00:00,1.7,0:10:18,6.058823529411765
2013-07-24 00:00:00,6.2,0:46:52,7.559139784946237
2013-07-24 00:00:00,1.55,,nan
2013-07-26 00:00:00,5.76,0:44:23,7.705439814814815
2013-07-26 00:00:00,3.03,,nan
2013-07-29 00:00:00,4.24,,nan
2013-07-30 00:00:00,1.7,0:9:57,5.852941176470589
2013-07-31 00:00:00,5.67,0:46:25,8.186360964138741
2013-07-31 00:00:00,4.19,,nan
2013-08-01 00:00:00,4.55,0:32:13,7.080586080586081
2013-08-02 00:00:00,2.81,0:23:11,8.2502965599051
2013-08-03 00:00:00,3.1,0:17:55,5.779569892473118
2013-08-05 00:00:00,3.88,0:24:20,6.2714776632302405
2013-08-06 00:00:00,5.0,0:36:38,7.326666666666667
2013-08-08 00:00:00,3.17,,nan
2013-08-08 00:00:00,5.37,,nan
2013-08-09 00:00:00,6.8,1:07:51,9.977941176470589
2013-08-12 00:00:00,5.83,0:39:48,6.826758147512864
2013-08-13 00:00:00,1.7,0:14:10,8.333333333333334
2013-08-13 00:00:00,4.64,0:31:50,6.860632183908047
2013-08-14 00:00:00,5.1,,nan
2013-08-15 00:00:00,5.1,0:42:40,8.366013071895425
2013-08-16 00:00:00,4.19,0:27:51,6.6467780429594265
2013-08-18 00:00:00,5.69,0:40:50,7.176332747510252
2013-08-19 00:00:00,4.43,0:36:36,8.261851015801355
2013-08-20 00:00:00,3.1,0:17:52,5.763440860215054
2013-08-21 00:00:00,2.12,0:16:31,7.7908805031446535
2013-08-22 00:00:00,6.8,0:57:49,8.502450980392158
2013-08-23 00:00:00,3.1,0:19:50,6.397849462365591
2013-08-26 00:00:00,4.82,0:39:26,8.18118948824343
2013-08-27 00:00:00,5.31,0:40:35,7.642812303829254
2013-08-28 00:00:00,7.0,0:47:28,6.780952380952381
2013-08-29 00:00:00,4.55,0:29:46,6.542124542124542
2013-08-30 00:00:00,6.36,0:56:03,8.812893081761006
2013-09-01 00:00:00,3.62,0:26:28,7.3112338858195205
2013-09-02 00:00:00,4.3,0:37:42,8.767441860465116
2013-09-03 00:00:00,5.96,0:46:13,7.754474272930649
2013-09-04 00:00:00,3.1,0:17:32,5.655913978494624
2013-09-05 00:00:00,2.2,0:18:00,8.181818181818182
2013-09-06 00:00:00,6.0,0:43:11,7.197222222222222
2013-09-09 00:00:00,6.16,0:43:21,7.037337662337662
2013-09-10 00:00:00,3.1,0:17:53,5.768817204301075
2013-09-12 00:00:00,3.1,0:17:29,5.639784946236559
2013-09-13 00:00:00,2.18,0:16:36,7.614678899082568
2013-09-14 00:00:00,6.2,0:39:53,6.432795698924731
2013-09-16 00:00:00,6.26,0:56:53,9.086794462193824
2013-09-17 00:00:00,8.27,1:00:35,7.325675130995567
2013-09-19 00:00:00,3.1,0:17:03,5.5
2013-09-20 00:00:00,2.66,0:21:06,7.932330827067669
2013-09-21 00:00:00,3.1,0:16:46,5.408602150537634
