Date,Mileage,time_corr,pace_min,Month,Day,month.day,numRun,highest,rpd,firstRun,numYear
2016-02-04,8.89,NA,NA,2,4,2/4,4,0,1,1,4
2018-02-04,14.03,1:40:34,7.167973390354004,2,4,2/4,5,0,1,1,5
2019-02-04,8,NA,NA,2,4,2/4,6,0,1,1,6
2020-02-04,6.56,0:47:42,7.271341463414634,2,4,2/4,7,0,1,1,7
2021-02-04,8.31,0:59:08,7.115924588848776,2,4,2/4,8,1,1,1,8
2011-02-05,3.75,NA,NA,2,5,2/5,1,0,1,1,1
2013-02-05,4.15,0:33:28,8.064257028112449,2,5,2/5,2,0,1,1,2
2015-02-05,6.15,0:40:40,6.612466124661247,2,5,2/5,3,0,1,1,3
2016-02-05,5,0:36:44,7.346666666666667,2,5,2/5,4,0,1,1,4
2017-02-05,12.03,1:25:51,7.136325852036576,2,5,2/5,5,0,1,1,5
2019-02-05,9.73,NA,NA,2,5,2/5,6,0,1,1,6
2020-02-05,12.11,NA,NA,2,5,2/5,7,0,1,1,7
2021-02-05,8.38,0:57:38,6.877486077963405,2,5,2/5,8,1,1,1,8
2014-02-06,3.95,0:29:54,7.5696202531645564,2,6,2/6,1,0,1,1,1
2016-02-06,3.1,0:16:23,5.284946236559139,2,6,2/6,2,0,1,1,2
2016-02-06,1,0:4:50,4.833333333333333,2,6,2/6,3,0,2,0,2
2016-02-06,7.96,NA,NA,2,6,2/6,4,0,3,0,2
2017-02-06,8,0:56:19,7.039583333333334,2,6,2/6,5,0,1,1,3
2018-02-06,4,0:28:20,7.083333333333333,2,6,2/6,6,0,1,1,4
2018-02-06,9.83,NA,NA,2,6,2/6,7,0,2,0,4
2019-02-06,9.85,1:13:30,7.461928934010152,2,6,2/6,8,0,1,1,5
2020-02-06,6.19,0:49:02,7.9213785675821216,2,6,2/6,9,1,1,1,6
2013-02-07,3.14,0:24:12,7.707006369426751,2,7,2/7,1,0,1,1,1
2015-02-07,8,0:59:49,7.477083333333334,2,7,2/7,2,0,1,1,2
2016-02-07,12.28,1:28:26,7.201411509229099,2,7,2/7,3,0,1,1,3
2017-02-07,4.11,0:31:50,7.745336577453366,2,7,2/7,4,0,1,1,4
2017-02-07,9.03,1:04:32,7.1465485418973795,2,7,2/7,5,0,2,0,4
2018-02-07,4.17,0:29:52,7.162270183852917,2,7,2/7,6,0,1,1,5
2018-02-07,10,1:18:01,7.801666666666667,2,7,2/7,7,0,2,0,5
2019-02-07,9.85,NA,NA,2,7,2/7,8,0,1,1,6
2021-02-07,8,0:56:10,7.020833333333333,2,7,2/7,9,1,1,1,7
2012-02-08,4.4,0:35:22,8.037878787878787,2,8,2/8,1,0,1,1,1
2014-02-08,4.23,0:29:13,6.907013396375097,2,8,2/8,2,0,1,1,2
2015-02-08,3.1,0:17:40,5.698924731182796,2,8,2/8,3,0,1,1,3
2015-02-08,1.82,NA,NA,2,8,2/8,4,0,2,0,3
2016-02-08,7.01,0:51:36,7.360912981455064,2,8,2/8,5,0,1,1,4
2017-02-08,9.29,NA,NA,2,8,2/8,6,0,1,1,5
2018-02-08,10,1:15:03,7.505,2,8,2/8,7,0,1,1,6
